parentTconst,primaryTitle,seasonNumber,year,numSeasons,startYear,averageRating,numVotes,avgVotes,intYear,yearVotes,propVotes,visPropVotes
tt0101178,The Ren & Stimpy Show,1.0,1991.0,5.0,1991.0,8.22857142857143,1670,1360.8,1991,174019,0.959665323901413,9.796250935441645
tt0101188,Rugrats,1.0,1991.0,10.0,1991.0,7.3533333333333335,2069,1541.7,1991,174019,1.1889506318275591,10.90390128269492
tt0101205,Step by Step,1.0,1991.0,7.0,1991.0,6.395454545454545,1904,1480.7142857142858,1991,174019,1.0941333992265212,10.460083169968206
tt0101223,The Torkelsons,1.0,1991.0,1.0,1991.0,7.378947368421052,1241,1241.0,1991,174019,0.7131405191387148,8.444764763678824
tt0103352,Are You Afraid of the Dark?,2.0,1991.6666666666667,7.0,1990.0,8.7,10042,8698.714285714286,1991,174019,5.770634241088617,24.022144452751544
tt0103376,Bottom,1.0,1991.0,3.0,1991.0,8.35,2078,1884.6666666666667,1991,174019,1.1941224808785247,10.927591138391502
tt0103562,Taz-Mania,1.0,1991.0,1.0,1991.0,6.2323076923076925,2219,2219.0,1991,174019,1.2751481160103206,11.292245640306984
tt0179552,The Adventures of Tintin,1.0,1991.0,3.0,1991.0,7.423076923076923,4434,3747.6666666666665,1991,174019,2.5479976324424345,15.962448535367106
tt0179552,The Adventures of Tintin,2.0,1991.5,3.0,1991.0,7.369230769230769,3464,3747.6666666666665,1991,174019,1.9905872347272424,14.108817224442461
tt12606372,Detective Extralarge,1.0,1991.0,2.0,1991.0,5.92,1118,1112.5,1991,174019,0.6424585821088502,8.015351409070286
tt0098749,"Beverly Hills, 90210",3.0,1992.2222222222222,10.0,1990.0,6.733333333333333,4838,3946.2,1992,180251,2.684035040027517,16.38302487340942
tt0098765,The Case-Book of Sherlock Holmes,2.0,1992.0,3.0,1991.0,7.2,1116,2454.6666666666665,1992,180251,0.6191366483403699,7.868523675635537
tt0098800,The Fresh Prince of Bel-Air,3.0,1992.4,6.0,1990.0,7.604166666666667,13952,15259.0,1992,180251,7.740317668140538,27.821426397905157
tt0098802,Get a Life,2.0,1992.0,2.0,1990.0,8.684615384615386,2840,4025.5,1992,180251,1.5755807179987906,12.552213820672392
tt0098830,In Living Color,3.0,1992.0,5.0,1990.0,6.796551724137931,1323,1078.0,1992,180251,0.7339765105325352,8.567242908500583
tt0098833,Jeeves and Wooster,3.0,1992.0,4.0,1990.0,8.200000000000001,1045,1183.5,1992,180251,0.5797471303904,7.614112754552562
tt0098837,Keeping Up Appearances,3.0,1992.5,5.0,1990.0,8.014285714285714,1395,1843.6,1992,180251,0.7739208104254622,8.797276910643783
tt0098878,Northern Exposure,3.0,1992.0,6.0,1990.0,8.304347826086957,4137,2749.0,1992,180251,2.2951328980144354,15.149696030001511
tt0098929,Tiny Toon Adventures,2.0,1992.5,3.0,1990.0,7.646153846153846,667,1869.3333333333333,1992,180251,0.37003955595253285,6.083087669535372
tt0098948,Wings,3.0,1992.0,8.0,1990.0,7.990909090909091,2243,2046.875,1992,180251,1.2443758980532702,11.155159783944246
tt0101050,Blossom,3.0,1992.5,5.0,1990.0,7.596153846153846,1043,1092.4,1992,180251,0.5786375665044854,7.606823032675898
tt0101069,The Commish,2.0,1992.25,5.0,1991.0,7.895454545454545,1640,1440.6,1992,180251,0.9098423864500058,9.53856585892243
tt0101076,Darkwing Duck,3.0,1992.0,3.0,1991.0,7.461538461538462,1585,4283.333333333333,1992,180251,0.8793293795873532,9.377256419589651
tt0101081,Dinosaurs,2.0,1992.0,4.0,1991.0,7.8374999999999995,3564,2208.75,1992,180251,1.9772428446998906,14.061446741711503
tt0101120,Home Improvement,2.0,1992.142857142857,8.0,1991.0,7.492000000000001,5338,4968.25,1992,180251,2.9614260115061777,17.208794296830263
tt0101178,The Ren & Stimpy Show,2.0,1992.25,5.0,1991.0,8.408333333333333,2099,1360.8,1992,180251,1.164487298267416,10.791141266184109
tt0101188,Rugrats,2.0,1992.6666666666667,10.0,1991.0,7.561538461538461,2944,1541.7,1992,180251,1.633278040066352,12.779976682554441
tt0101205,Step by Step,2.0,1992.1666666666667,7.0,1991.0,6.241666666666667,1646,1480.7142857142858,1992,180251,0.9131710781077498,9.555998525050901
tt0103359,Batman: The Animated Series,1.0,1992.0,4.0,1992.0,8.088333333333333,97096,31675.0,1992,180251,53.867107533384,73.3942147130031
tt0103426,The Golden Palace,1.0,1992.0,1.0,1992.0,7.4375,1540,1540.0,1992,180251,0.8543641921542737,9.2431823099746
tt0103428,Goof Troop,1.0,1992.0,2.0,1992.0,7.358461538461539,2352,1372.0,1992,180251,1.3048471298356181,11.422990544667444
tt0103442,Highlander,1.0,1992.0,6.0,1992.0,7.636363636363637,4634,3167.3333333333335,1992,180251,2.570859523664224,16.03390009842965
tt0103466,The Larry Sanders Show,1.0,1992.0,6.0,1992.0,7.876923076923077,2564,1959.6666666666667,1992,180251,1.42246090174257,11.926696532328513
